"reino","filo","classe","ordem","familia","genero","especie","subespecie","nome_cientifico_anterior","autor","nome_comum","grupo","mesano_avaliacao","categoria","possivemente_extinta","criterio","justificativa","endemica_brasil","consta_em_lista_nacional_oficial","estado","regiao","bioma","bacia_hidrografica","unidade_de_conservacao_federal","unidade_de_conservacao_estadual","rppn","migratoria","tendencia_populacional","ameaca","uso","acao_conservacao","plano_de_acao","listas_e_convencoes","altitudeminmax","barimetriaminmax"
"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote","Actinote eberti","","Actinote eberti","(Francini, Freitas & Penz, 2004)","Borboleta, Borboleta-palha","Invertebrados Terrestres","09/2024","Quase Ameaçada","","B1ab(iii)","Actinote eberti é endêmica do Brasil e possui poucos registros na Serra da Mantiqueira, nos estados do Rio de Janeiro e São Paulo, entre 700 e 1700 m. Sua Extensão de Ocorrência (EOO) é calculada em 348 km². O habitat da espécie tem sido impactado pela expansão urbana, silvicultura, corte de madeira, e pequenos desmatamentos em torno das propriedades rurais. Essas atividades também promovem declínio continuado da qualidade do habitat remanescente em parte de sua distribuição. Por aproximar-se de Em Perigo (EN) pelo critério B1b(iii), A. eberti foi categorizada como Quase Ameaçada (NT).","Sim","Não","Rio de Janeiro, São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Grande
Sub-bacia Paraíba do Sul","PARNA de Itatiaia","","","Desconhecido","Desconhecida","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.2 - Silvicultura
2.2.3 - Plantações em escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.2 - Pecuária em pequenas propriedades
2 - Agropecuária e Aquacultura
2.3.4 - Pecuária em escala desconhecida
5 - Uso de recursos biológicos
5.3 - Extração florestal
5.3.1 - Uso intencional - subsistência/pequena escala","","","","","700 , 1700",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Adenomera","Adenomera aurantiaca","","","Carvalho, Moraes, Lima, Fouquet, Peloso, Pavan, Drummond, Rodrigues, Giaretta, Gordo, Neckel-Oliveira & Haddad, 2021","","Anfíbios","10/2025","Quase Ameaçada","","","","Sim","Não","Pará","|Norte|","Amazônia","Sub-bacia Tapajós","FLONA de Itaituba II","","","Não","Estável","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.2 - Agricultura em pequenas propriedades
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.2 - Pecuária em pequenas propriedades
3 - Produção energética e mineração
3.2 - Mineração
3.2.4 - Extração de minérios - garimpo
4 - Transportes e serviços de transmissão
4.1 - Estradas e ferrovias","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Adenomera","Adenomera martinezi","","Adenomera martinezi","(Bokermann, 1956)","","Anfíbios","10/2025","Quase Ameaçada","","","Adenomera martinezi é endêmica do Brasil, conhecida somente da localidade-tipo, na Serra do Cachimbo, no sul do estado do Pará. Sua extensão de ocorrência foi estimada em cerca de 1.590 km², considerando a área da Serra nas proximidades onde a espécie foi registrada. A espécie ocorre em formações campestres associadas a afloramentos rochosos, em solo arenoso, lamacento ou lodoso. Esses ambientes têm sido afetados por incêndios frequentes, que provocam declínio de sua qualidade. No entanto, a população não se encontra severamente fragmentada e, dada a extensão dos incêndios, não é possível definir menos de dez localizações. Portanto, Adenomera martinezi foi avaliada como Quase Ameaçada (NT).","Sim","Não","Pará","|Norte|","Amazônia","Sub-bacia Tapajós","","","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.3 - Pecuária agro-industrial
6 - Distúrbios humanos
6.2 - Exercícios militares
distúrbio civil
guerra
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios","","","","","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla leptodactyla","","Aegla leptodactyla","Buckup & Rossi, 1977","Egla","Invertebrados de Água Doce","10/2019","Quase Ameaçada","","","Aegla leptodactyla é endêmica do Brasil e distribui-se no nordeste do RS e planalto de SC, nas bacias hidrográficas do Rio Pelotas e Caí. A extensão de ocorrência (EOO) foi calculada em 5.201km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. O avanço da urbanização e a degradação do habitat provocado pelo plantio de Pinus spp. são as principais ameaças, provocando a redução da mata ciliar em toda a distribuição da espécie. Entretanto o registro de subpopulações em microbacias contíguas indica que a população não está severamente fragmentada. Considerando a extensão de ocorrência estimada e a degradação continuada da qualidade do habitat, a espécie quase foi qualificada como Vulnerável. Portanto, A. leptodactyla foi categorizada como Quase Ameaçada (NT).","Sim","Sim","Rio Grande do Sul, Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Guaíba
Sub-bacia Uruguai Alto","","PARQUE ESTADUAL DO TAINHAS","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.2 - Silvicultura
2.2.3 - Plantações em escala desconhecida","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Aegomorphus","Aegomorphus ridleyi","","","(Waterhouse, 1890)","","Invertebrados Terrestres","07/2022","Quase Ameaçada","","","Aegomorphus ridleyi é endêmica do Brasil, possui registro para a Ilha de Fernando de Noronha, Pernambuco. A Extensão de Ocorrência (EOO) da espécie é estimada em 37km&sup2;. A ilha é impactada por diversas invasões biológicas que podem afetar a espécie, dentre elas destacam-se a trepadeira popularmente conhecida como ""Liana"" que compromete as plantas hospedeiras locais, além de outras espécies de insetos que são pragas quarentenárias reportadas, que podem ser competidores da A. ridleyi. Essas ameaças promovem declínio continuado da qualidade do habitat original da ilha. Não há informações populacionais que sustentem sua severa fragmentação. Por aproximar-se de Criticamente em Perigo (CR), pelo critério B1b(iii), A. ridleyi foi categorizada como Quase Ameaçada (NT).","Sim","Não","Pernambuco","|Nordeste|","Mata Atlântica","","APA Fernando de Noronha","","","","Desconhecida","8 - Espécies invasoras
problemáticas e doenças
8.1 - Espécies exóticas
8.1.1 - Espécie conhecida
8.1.1.1 - Competidores","","","","","",""
"Animalia","Arthropoda","Entognatha","Symphypleona","Arrhopalitidae","Aethiopella","Aethiopella littoralis","","Aethiopella littoralis","Fernandes & Mendonça, 2002","Colêmbolo, Pulga-de-jardim","Invertebrados Terrestres","05/2024","Quase Ameaçada","","B1ab(iii)+2ab(iii)","Aethiopella litoralis é endêmica do Brasil, ocorrendo nas dunas da restinga da praia da Barra de Maricá, em Saquarema (Parque Estadual da Costa do Sol) e em Carapebus (Parque Nacional da Restinga de Jurubatiba), estado do Rio de Janeiro. A principal ameaça à espécie é a degradação do ambiente pela intensa expansão urbana e incêndios frequentes na vegetação de restinga, uso intenso da praia, o pisoteamento e a poluição. A Extensão de Ocorrência (EOO) calculada em 1.504 km² e o declínio continuado da qualidade do habitat (biii) quase qualificam a espécie como Em Perigo (EN) pelo critério B1b(iii). Por isso, A. litoralis foi categorizada como Quase Ameaçada (NT).","Sim","Sim","Rio de Janeiro","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ","PARNA da Restinga de Jurubatiba","ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ, ÁREA DE PROTEçãO AMBIENTAL DE MASSAMBABA, PARQUE ESTADUAL DA COSTA DO SOL","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios
9 - Poluição
9.1 - Doméstica e urbana - escoamento de água
9.1.3 - Tipo desconhecido","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","Agrilus oceanicus","","","Cobos, 1959","","Invertebrados Terrestres","07/2022","Quase Ameaçada","","","Agrilus oceanicus é endêmica do Brasil, possui registro para a Ilha de Fernando de Noronha, Pernambuco. A Extensão de Ocorrência (EOO) da espécie é estimada em 37km2. A ilha é impactada por diversas invasões biológicas que podem afetar a espécie, dentre elas destacam-se a trepadeira popularmente conhecida como ""Liana"" que compromete as plantas hospedeiras locais, além de outras espécies de insetos que são pragas quarentenárias reportadas, que podem ser competidores da A. oceanicus. Essas ameaças promovem declínio continuado da qualidade do habitat original da ilha. Não há informações populacionais que sustentem sua severa fragmentação. Por aproximar-se de Criticamente em Perigo (CR), pelo critério B1b(iii), A. oceanicus foi categorizada como Quase Ameaçada (NT).","Sim","Não","Pernambuco","|Nordeste|","Mata Atlântica","","APA Fernando de Noronha","","","Desconhecido","Desconhecida","8 - Espécies invasoras
problemáticas e doenças
8.1 - Espécies exóticas
8.1.1 - Espécie conhecida
8.1.1.1 - Competidores","","","","","",""
"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Akodon","Akodon mystax","","Akodon mystax","Hershkovitz, 1998","","Mamíferos","11/2021","Quase Ameaçada","","D2","Akodon mystax é endêmica do Brasil, conhecida somente na localidade-tipo, Parque Nacional do Caparaó, acima de 1.800 m. A população conhecida é restrita e isolada, e a área recebe visitação constante e está sujeita a incêndios antrópicos. Além destes impactos, que são considerados ameaças à espécie, a perda de qualidade e retração dos ambientes de campos de altitude são intensificados por alterações climáticas. A extensão de ocorrência (EOO) calculada em 200 km&sup2;, a área de ocupação (AOO) calculada em 72 km&sup2;, e o declínio continuado da qualidade do habitat quase qualificam a espécie como Em Perigo (EN) pelos critérios B1b(iii)+2b(iii). Por isso, A. mystax foi categorizada como Quase Ameaçada (NT).","Sim","Sim","Espírito Santo, Minas Gerais","|Sudeste|","Mata Atlântica","","PARNA do Caparaó","","","Não","Desconhecida","11 - Mudanças e extremos climáticos
11.1 - Mudança/alteração de habitat
11 - Mudanças e extremos climáticos
11.4 - Tempestades/enchentes
1 - Desenvolvimento residencial e comercial
1.3 - Áreas de turismo e recreação
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação dos Pequenos Mamíferos de Áreas Florestais","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","1800 , 3000",""
"Animalia","Chordata","Amphibia","Anura","Aromobatidae","Allobates","Allobates goianus","","Allobates goianus","(Bokermann, 1975)","Rãzinha-da-mata-goiana","Anfíbios","06/2017","Quase Ameaçada","","","Allobates goianus é endêmica do Brasil, do bioma Cerrado, conhecida apenas para o estado de Goiás, com registros na região da Chapada dos Veadeiros, na Floresta Nacional de Silvânia, Serra da Mesa e, mais recentemente, foi registrada na Reserva Particular do Patrimônio Natural do Tombador (município de Cavalcante) e nos municípios de Niquelândia e Minaçu. Sua extensão de ocorrência é estimada em 18.098 km2. O hábitat da espécie tem sofrido redução de área e qualidade em consequência do avanço de atividades agropastoris, extração de madeira para carvoaria, mineração e construção de represas, e a espécie não foi mais registrada em algumas localidades. Na subpopulação da Floresta Nacional de Silvânia, cada vez menos indivíduos têm sido encontrados. Contudo, não há informação de que a fragmentação do ambiente esteja causando fragmentação severa da população. Sendo assim, Allobates goianus quase se qualifica como Vulnerável (VU) pelo critério B1b (iii,v), por isso foi avaliada como Quase Ameaçada (NT).","Sim","Sim","Goiás","|Centro-Oeste|","Cerrado","Sub-bacia Paranaíba
Sub-bacia Tocantins Alto","FLONA Silvânia","ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO","Reserva Natural do Tombador","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.3 - Pecuária agro-industrial
3 - Produção energética e mineração
3.2 - Mineração
3.2.3 - Extração de minérios - subsolo
5 - Uso de recursos biológicos
5.3 - Extração florestal
5.3.2 - Uso intencional - larga escala
7 - Modificações nos sistemas naturais
7.2 - Represas e uso de água
7.2.11 - Represas (tamanho desconhecido)
9 - Poluição
9.3 - Agropecuária e florestal
9.3.3 - Herbicidas e pesticidas","","Identificação de novas áreas protegidas, Plano de Ação Nacional (PAN), Restauração de habitat e processos naturais","Plano de Ação Nacional para Conservação das Espécies Ameaçadas de Extinção da Ictiofauna, Herpetofauna e Primatas do Cerrado e Pantanal","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014","",""
"Animalia","Chordata","Amphibia","Anura","Aromobatidae","Allobates","Allobates velocicantus","","","Souza, Ferrão, Hanken & Lima, 2020","","Anfíbios","10/2025","Quase Ameaçada","","","","Sim","Não","Acre, Amazonas","|Norte|","Amazônia","Sub-bacia Solimões","","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAPIIM PENTECOSTE","","","Desconhecida","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.2 - Agricultura em pequenas propriedades
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.2 - Pecuária em pequenas propriedades
4 - Transportes e serviços de transmissão
4.1 - Estradas e ferrovias
5 - Uso de recursos biológicos
5.3 - Extração florestal
5.3.3 - Efeitos indiretos - subsistência/pequena escala
9 - Poluição
9.1 - Doméstica e urbana - escoamento de água
9.1.1 - Esgoto","","","","","",""
