"reino","filo","classe","ordem","familia","genero","especie","subespecie","nome_cientifico_anterior","autor","nome_comum","grupo","mesano_avaliacao","categoria","possivemente_extinta","criterio","justificativa","endemica_brasil","consta_em_lista_nacional_oficial","estado","regiao","bioma","bacia_hidrografica","unidade_de_conservacao_federal","unidade_de_conservacao_estadual","rppn","migratoria","tendencia_populacional","ameaca","uso","acao_conservacao","plano_de_acao","listas_e_convencoes","altitudeminmax","barimetriaminmax"
"Animalia","Chordata","Amphibia","Anura","Hylidae","Boana","Boana cymbalum","","Hypsiboas cymbalum","(Bokermann, 1963)","Perereca-gladiadora-de-sino","Anfíbios","09/2017","Extinta","","","Boana cymbalum era endêmica do Brasil, do bioma Mata Atlântica. A espécie era conhecida apenas de duas localidades no estado de São Paulo, uma na Estação Ferroviária de Campo Grande (Serra de Paranapiacaba), no município de Santo André (localidade-tipo), e outro da Vila Nova Manchester, no município de São Paulo. O local desse último registro foi transformado em estacionamento. Embora de grande porte e com vocalização muito característica, a espécie não é registrada desde 1962, apesar de dezenas de expedições terem sido realizadas nos últimos anos na região da localidade-tipo, por diferentes pesquisadores experientes. Por essas razões, Boana cymbalum foi avaliada como Extinta (EX).","Sim","Sim","São Paulo","|Sudeste|","Mata Atlântica","","","","","Não","Declinando","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
8 - Espécies invasoras
problemáticas e doenças
8.8 - Doenças de causas desconhecidas
9 - Poluição
9.2 - Industrial","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014","",""
"Animalia","Chordata","Aves","Passeriformes","Furnariidae","Cichlocolaptes","Cichlocolaptes mazarbarnetti","","Cichlocolaptes mazarbarnetti","Barnett & Buzzetti, 2014","gritador-do-nordeste, trepador-do-nordeste","Aves","06/2019","Extinta","","","Cichlocolaptes mazarbarnetti era endêmica do Brasil, com ocorrência restrita às áreas montanhosas dos estados de Alagoas e Pernambuco. São conhecidos registros apenas em duas áreas, embora outras tenham sido intensivamente amostradas. Vários ornitólogos experientes vêm buscando a espécie em todas as áreas potenciais de ocorrência, utilizando-se os meios adequados, mas esta não foi registrada após 2007. Uma vez que não há dúvida razoável sobre a existência de exemplares vivos de C. mazarbarnetti, esta foi categorizada como Extinta (EX).","Sim","Não","Pernambuco","|Nordeste|","Mata Atlântica","","","","","Não","Desconhecida","5 - Uso de recursos biológicos
5.3 - Extração florestal","","","","","",""
"Animalia","Chordata","Aves","Strigiformes","Strigidae","Glaucidium","Glaucidium mooreorum","","Glaucidium mooreorum","Silva, Coelho & Gonzaga, 2002","caburé-de-pernambuco","Aves","06/2019","Extinta","","","Glaucidium mooreorum era endêmica do Brasil, sendo restrita apenas ao litoral sul de Pernambuco. Os registros documentados restringem-se a dois indivíduos coletados em novembro de 1980 e um único registro sonoro de outubro de 1990, ambos na mesma localidade. Buscas intensivas e direcionadas à espécie, realizadas por ornitólogos experientes, durante um período superior a três gerações da espécie, em todas as áreas de ocorrência confirmada e potencial (48 localidades nos estados de Alagoas, Paraíba e Pernambuco), não revelaram sua presença. Não havendo dúvida razoável sobre a inexistência de exemplares vivos desta espécie, G. mooreorum foi categorizada como Extinta (EX).","Sim","Não","Pernambuco","|Nordeste|","Mata Atlântica","","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.1 - Agricultura de rotação
2 - Agropecuária e Aquacultura
2.1.3 - Agricultura agro-industrial
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.3 - Pecuária agro-industrial
4 - Transportes e serviços de transmissão
4.1 - Estradas e ferrovias
5 - Uso de recursos biológicos
5.3 - Extração florestal
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação das Aves de Rapina","CITES - Anexo II","",""
"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Noronhomys","Noronhomys vespuccii","","Noronhomys vespuccii","Carleton & Olson, 1999","Rato-de-Noronha, Vespucci’s Rodent","Mamíferos","10/2021","Extinta","","","Noronhomys vespuccii é conhecida apenas de registros históricos, que indicam a existência da espécie na ilha de Fernando de Noronha até 1503, quando os últimos relatos de sua observação foram feitos. A espécie não foi mais registrada desde então, apesar dos estudos no arquipélago. Portanto, Noronhomys vespuccii foi categorizada como Extinta (EX).","Sim","Não","Pernambuco","|Nordeste|","Mata Atlântica","","","","","Não","Desconhecida","","","","","","",""
"Animalia","Chordata","Aves","Passeriformes","Furnariidae","Philydor","Philydor novaesi","","Philydor novaesi","Teixeira & Gonzaga, 1983","limpa-folha-do-nordeste","Aves","06/2019","Extinta","","","Philydor novaesi era endêmica do Brasil, com ocorrência restrita aos estados de Alagoas e Pernambuco. A espécie era bastante conspícua (respondia a playback e poderia ser captura em rede, como espécies similares). Vários ornitólogos experientes vêm buscando a espécie em todas as áreas potenciais de ocorrência, mas esta não é vista ou registrada em Murici, Alagoas, desde 2007, e em Jaqueira, Pernambuco, desde setembro de 2011. Foram feitas inúmeras amostragens posteriores para buscar a espécie, utilizando-se os meios adequados, mas sem sucesso. Mesmo antes disso, a espécie sempre foi registrada em baixíssimas densidades. Uma vez que não há dúvida razoável sobre a inexistência de exemplares vivos de P. novaesi, esta foi categorizada como Extinta (EX).","Sim","Não","Alagoas, Pernambuco","|Nordeste|","Mata Atlântica","Sub-bacia Litoral AL PE PB","","","","Não","Declinando","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.2 - Agricultura em pequenas propriedades
2 - Agropecuária e Aquacultura
2.3 - Pecuária
5 - Uso de recursos biológicos
5.1 - Caça e captura de animais terrestres ou marinhos
5 - Uso de recursos biológicos
5.3 - Extração florestal","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Phrynomedusa","Phrynomedusa fimbriata","","Phrynomedusa fimbriata","Miranda-Ribeiro, 1923","Perereca-verde-de-fímbria, Perereca-verde-de-riacho-de-Paranapiacaba, Spiny-knee Leaf Frog","Anfíbios","09/2017","Extinta","","","Phrynomedusa fimbriata era endêmica do Brasil, do bioma Mata Atlântica, conhecida apenas da localidade-tipo, Alto da Serra de Paranapiacaba, estado de São Paulo. Sua descrição, em 1923, foi realizada a partir de um indivíduo coletado em 1896, e a espécie nunca mais foi reencontrada, apesar de esforços contínuos de amostragem na localidade-tipo. A causa do desaparecimento da espécie é desconhecida. Por essa razão Phrynomedusa fimbriata foi avaliada como Extinta (EX).","Sim","Não","São Paulo","|Sudeste|","Mata Atlântica","","","","","Não","Declinando","12 - Outras ameaças","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
