"reino","filo","classe","ordem","familia","genero","especie","subespecie","nome_cientifico_anterior","autor","nome_comum","grupo","mesano_avaliacao","categoria","possivemente_extinta","criterio","justificativa","endemica_brasil","consta_em_lista_nacional_oficial","estado","regiao","bioma","bacia_hidrografica","unidade_de_conservacao_federal","unidade_de_conservacao_estadual","rppn","migratoria","tendencia_populacional","ameaca","uso","acao_conservacao","plano_de_acao","listas_e_convencoes","altitudeminmax","barimetriaminmax"
"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Anodorhynchus","Anodorhynchus glaucus","","Anodorhynchus glaucus","(Vieillot, 1816)","arara-azul-pequena","Aves","06/2019","Regionalmente Extinta","","","Anodorhynchus glaucus ocorria no leste do Paraguai, oeste do Uruguai, nordeste da Argentina e Brasil (apenas no sul do Brasil). No Brasil, é conhecida apenas por relatos históricos. Não há qualquer registro ou indício de existência atual da espécie no Brasil e o nível de exploração ornitológica em áreas de ocorrência conhecida ou potencial é grande. Portanto, é altamente improvável que qualquer população remanescente no Brasil tenha passado despercebida até agora e não há nenhuma dúvida razoável quanto à inexistência de indivíduos neste país. Além disso, as chances de uma recolonização a partir de territórios vizinhos é virtualmente nula. Dessa forma, A. glaucus foi categorizada como Regionalmente Extinta (RE).","Não","Não","Mato Grosso do Sul, Rio Grande do Sul, Santa Catarina","|Centro-Oeste|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba
Sub-bacia Litoral SP PR SC","","","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
2.3 - Pecuária
5 - Uso de recursos biológicos
5.1 - Caça e captura de animais terrestres ou marinhos
5.1.1 - Caça/captura intencional (a espécie é o alvo)
6 - Distúrbios humanos
6.2 - Exercícios militares
distúrbio civil
guerra
8 - Espécies invasoras
problemáticas e doenças
8.8 - Doenças de causas desconhecidas","","","","CITES - Anexo I","",""
"Animalia","Chordata","Aves","Passeriformes","Icteridae","Leistes","Leistes defilippii","","Sturnella defilippii","(Bonaparte, 1850)","peito-vermelho-grande","Aves","10/2021","Regionalmente Extinta","","","Sturnella defilippii ocorre na Argentina, Uruguai e sul do Brasil, sendo que os únicos registros para este país são do Rio Grande do Sul, datando mais de 100 anos atrás. A população mais próxima conhecida habita o oeste do Departamento de Salto, no norte do Uruguai, a mais de 100 km da divisa com o Rio Grande do Sul, sendo ínfima a possibilidade de alguns indivíduos alcançarem o Brasil, recolonizando-o. Dessa forma, S. defilippii foi categorizada como Regionalmente Extinta (RE).","Não","Não","Rio Grande do Sul","|Sul|","Pampa","","","","","Não","Declinando","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
2.3 - Pecuária
5 - Uso de recursos biológicos
5.1 - Caça e captura de animais terrestres ou marinhos
5.1.1 - Caça/captura intencional (a espécie é o alvo)
5.1.1.2 - Comercial - Nacional/Local
8 - Espécies invasoras
problemáticas e doenças
8.3 - Espécies nativas problemáticas
8.3.1 - Espécie conhecida
8.3.1.1 - Competidores","","","","","",""
"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius borealis","","Numenius borealis","(Forster, 1772)","maçarico-esquimó","Aves","04/2025","Regionalmente Extinta","","","Numenius borealis foi espécie numerosa nas Américas no século XIX, mas a população sofreu grave declínio devido à caça excessiva na costa do Atlântico e no rio Mississipi, nos Estados Unidos. No Brasil, foi registrada no Amazonas, Mato Grosso e São Paulo, mas não há registro no país há mais de 150 anos. Tendo em vista que esta espécie ocorria em áreas bastante estudadas por diversos pesquisadores brasileiros, considera-se que houve esforço amostral suficiente para afirmar que a espécie está Regionalmente Extinta (RE).","Não","Não","Amazonas, Mato Grosso, São Paulo","|Centro-Oeste|Norte|Sudeste|","Amazônia, Mata Atlântica, Pantanal","","FLONA de Ipanema","","","Sim","Desconhecida","11 - Mudanças e extremos climáticos
11.1 - Mudança/alteração de habitat
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
3 - Produção energética e mineração
3.1 - Extração de petróleo e gás natural
3 - Produção energética e mineração
3.2 - Mineração
5 - Uso de recursos biológicos
5.1 - Caça e captura de animais terrestres ou marinhos
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios","","Nível internacional","","CITES - Anexo I","",""
