"reino","filo","classe","ordem","familia","genero","especie","subespecie","nome_cientifico_anterior","autor","nome_comum","grupo","mesano_avaliacao","categoria","possivemente_extinta","criterio","justificativa","endemica_brasil","consta_em_lista_nacional_oficial","estado","regiao","bioma","bacia_hidrografica","unidade_de_conservacao_federal","unidade_de_conservacao_estadual","rppn","migratoria","tendencia_populacional","ameaca","uso","acao_conservacao","plano_de_acao","listas_e_convencoes","altitudeminmax","barimetriaminmax"
"Animalia","Chordata","Aves","Galliformes","Cracidae","Aburria","Aburria cujubi","","Aburria cujubi","(Pelzeln, 1858)","cujubi","Aves","11/2018","Vulnerável","","A2d","Aburria cujubi ocorre na Amazônia brasileira, a sul do rio Amazonas, na Bolívia e, registros históricos revelam que possivelmente, no Paraguai. Ocorre ainda em áreas do Cerrado fortemente impactada na área de contato ao sul da Amazônia. Os registros desta espécie ao longo da sua área de distribuição vêm declinando, sendo necessário monitoramento populacional. Embora possua uma distribuição relativamente ampla, é uma espécie muito procurada por caçadores, sofrendo também com a destruição do seu habitat, uma vez que é sensível a alterações ambientais. As perdas populacionais em três gerações passadas, baseadas em níveis reais ou potenciais de exploração, podem ser consideradas maiores que 30%. Por estas razões, A. cujubi foi categorizada como Vulnerável (VU) A2d.","Não","Sim","Amazonas, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Pará, Rondônia, Tocantins","|Centro-Oeste|Nordeste|Norte|","Amazônia, Cerrado, Pantanal","Sub-bacia Araguaia
Sub-bacia Foz Amazonas
Sub-bacia Gurupi
Sub-bacia Madeira
Sub-bacia Mearim
Sub-bacia Paraná RH1
Sub-bacia Paru
Sub-bacia Tocantins Alto
Sub-bacia Tocantins Baixo
Sub-bacia Xingu","ESEC da Serra das Araras, ESEC da Terra do Meio, ESEC de Taiamã, FLONA Amaná, FLONA Carajás, FLONA Caxiuanã, FLONA do Tapajós, FLONA Itaituba II, FLONA Jamanxim, FLONA Jamari, FLONA Jatuarana, FLONA Trairão, PARNA Amazônia, PARNA Campos Amazônicos, PARNA da Chapada dos Guimarães, PARNA do Jamanxim, PARNA do Pantanal Mato-grossense, PARNA Juruena, REBIO do Gurupi, REBIO do Jaru, REBIO Nascentes da Serra do Cachimbo, RESEX Rio Iriri, RESEX Riozinho do Anfrísio","ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES, ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO","RPPN Fazenda Estância Dorochê, RPPN Jubran, RPPN Lote Cristalino, RPPN Parque Natural Leonildo Ferreira 1","Desconhecido","Declinando","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.2 - Silvicultura
2.2.3 - Plantações em escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
4 - Transportes e serviços de transmissão
4.1 - Estradas e ferrovias
4 - Transportes e serviços de transmissão
4.7 - Linhas de força/transmissão
5 - Uso de recursos biológicos
5.1 - Caça e captura de animais terrestres ou marinhos
5.1.1 - Caça/captura intencional (a espécie é o alvo)
5.1.1.1 - Uso de subsistência/escambo local
5 - Uso de recursos biológicos
5.3 - Extração florestal
5.3.5 - Motivação desconhecida","","Conservação ex-situ, Criação de áreas protegidas, Plano de Ação Nacional (PAN), Reintrodução","Plano de Ação Nacional para a Conservação das Aves Ameaçadas do Bioma Amazônia - 2º ciclo","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Reptilia","Testudines","Chelidae","Acanthochelys","Acanthochelys macrocephala","","Acanthochelys macrocephala","(Rhodin, Mittermeier & McMorris, 1984)","Big-headed Pantanal Swamp Turtle, Pantanal-Plattschildkröte, Pantanal Swamp turtle, Tartaruga-do-pantanal, Tortuga del pantanal","Répteis","09/2024","Vulnerável","","A4c","Acanthochelys macrocephala ocorre na região central da América do Sul, principalmente na bacia do rio Paraguai, ao longo do bioma Pantanal e Chaco. Existem registros para o Brasil, Paraguai e Bolívia. No Brasil, é encontrada no bioma Pantanal a algumas áreas de transição com o Cerrado, nos estados do Mato Grosso e Mato Grosso do Sul. Trata-se de espécie comum, encontrada em trechos rasos de zonas alagáveis, lagoas, baías pantaneiras e riachos próximos às salinas. Apesar de ser uma espécie semiaquática, evidências sugerem que estiva nos períodos de seca, quando ficam mais suscetíveis aos incêndios florestais, que têm sido intensificados pelas mudanças climáticas globais. Cerca de 52% da área de distribuição da espécie estimada pelo modelo de distribuição de nicho ecológico (219.410 km²), sofreu com queimadas nos últimos 38 anos. A recorrência de incêndios é alta, sendo que 35% de toda sua distribuição queimou mais de dez vezes entre 1985 e 2023. O tempo geracional assumido para A. macrocephala é de 17,5 anos (três gerações totalizando 52,5 anos), considerando informação para uma espécie filogeneticamente próxima. Os dados sobre queimadas cobrem uma janela de 38 anos para o passado e, baseado na tendência dos últimos cinco anos, projeta-se que nos próximos 15 anos a área atingida deverá duplicar, chegando a 70% da área de ocorrência da espécie. Considerando a tolerância da espécie ao regime natural do fogo, suspeita-se que ocorra uma redução populacional acima de 30% no período de três gerações. Adicionalmente, ameaças como secas intensas, atividades pecuárias, projetos de hidrelétricas na Bacia do Alto Paraguai e a implementação da hidrovia Paraguai-Paraná agem sinergicamente, afetando a persistência da espécie. Este cenário é corroborado por estudo recente que prevê a inviabilidade da espécie até 2100. Por essas razões, Acanthochelys macrocephala foi avaliada como Vulnerável (VU) pelo critério A4c.","Não","Não","Mato Grosso, Mato Grosso do Sul","|Centro-Oeste|","Cerrado, Pantanal","Sub-bacia Paraguai 01
Sub-bacia Paraguai 02
Sub-bacia Paraguai 03","","PARQUE ESTADUAL DO PANTANAL DO RIO NEGRO","RPPN Estância Ecológica SESC - Pantanal, RPPN Fazenda Estância Dorochê, RPPN Fazendinha, RPPN Jubran","Não","Declinando","11 - Mudanças e extremos climáticos
11.1 - Mudança/alteração de habitat
11 - Mudanças e extremos climáticos
11.2 - Secas
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios","16 - Outro","Expansão de áreas protegidas, Implementação de áreas protegidas","","","",""
"Animalia","Chordata","Aves","Passeriformes","Furnariidae","Acrobatornis","Acrobatornis fonsecai","","Acrobatornis fonsecai","Pacheco, Whitney & Gonzaga, 1996","acrobata","Aves","02/2020","Vulnerável","","B1ab(i,ii,iii,v)","Acrobatornis fonsecai é endêmica do Brasil, com ocorrência restrita ao sul da Bahia e nordeste de Minas Gerais, onde há apenas registros históricos, e sua extensão de ocorrência (EOO) foi calculada em 18.867 km&sup2;. Habita cabrucas que sobreiam áreas de plantação de cacau e sua sobrevivência depende inteiramente da manutenção destes cacauais consorciados com floresta nativa. A população está severamente fragmentada e há suspeitas de redução no número de indivíduos maduros de ao menos 10% em um período de 11,4 anos (três gerações), devido à desvalorização da cultura cacaueira, e mais recentemente, relacionadas à expansão das áreas urbanas, cultivo de café e eucalipto, e abertura de pastagens. Essas ameaças têm levado à derrubada das matas de cabruca, gerando declínio continuado na extensão de ocorrência, na área de ocupação e na qualidade do habitat. Dessa forma, A. fonsecai foi categorizada como Vulnerável (VU) pelo critério B1ab(i,ii,iii,v).","Sim","Sim","Bahia, Minas Gerais","|Nordeste|Sudeste|","Mata Atlântica","","PARNA de Boa Nova, PARNA Serra das Lontras","ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA","","Não","Declinando","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.2 - Silvicultura
2.2.3 - Plantações em escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida","","Criação de áreas protegidas, Plano de Ação Nacional (PAN), Restauração de habitat e processos naturais","Plano de Ação Nacional para a Conservação das Aves Ameaçadas do Bioma Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Actinopterygii","Gobiesociformes","Gobiesocidae","Acyrtus","Acyrtus pauciradiatus","","Acyrtus pauciradiatus","Sampaio, de Anchieta, Nunes & Mendes, 2004","Peixe-ventosa","Peixes Marinhos (ósseos)","06/2019","Vulnerável","","D2","Acyrtus pauciradiatus ocorre no Atlântico sul ocidental, endêmica do Atol das Rocas (RN) e do Arquipélago de Fernando de Noronha (PE). A área de ocupação calculada é de 12 km2. As principais ameaças identificadas, principalmente em Fernando de Noronha, que podem levar a espécie à condição de CR ou EX em curto prazo, relacionam-se aos impactos antrópicos crônicos em função da ocupação humana desordenada (por exemplo drenagem pluvial, poluentes, erosão, falta de saneamento básico e descarte inadequado de resíduos) e atividades econômicas (como navegação, turismo, efeitos indiretos da pesca e mineração). Outras fontes de impactos, de causas ainda desconhecidas, como a mortandade de espécies de peixes recifais em ilhas oceânicas, também representam ameaças à conservação da espécie. Considerando que a espécie tem AOO restrita e existe um conjunto, em sinergia, de ameaças futuras plausíveis, A. pauciradiatus foi categorizada como Vulnerável (VU) sob o critério D2.","Sim","Não","Pernambuco, Rio Grande do Norte","|Nordeste|","Sistema Costeiro-Marinho","","PARNA Marinho de Fernando de Noronha, REBIO Atol das Rocas","","","","Desconhecida","11 - Mudanças e extremos climáticos
1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
6 - Distúrbios humanos
6.1 - Atividades recreacionais/turísticas
9 - Poluição
9.1 - Doméstica e urbana - escoamento de água
9 - Poluição
9.4 - Lixo e resíduos sólidos","","","","","","0 , 6"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae","Adebrotus","Adebrotus lugoi","","Adebrotus lugoi","Salles, 2010","Efemérida","Invertebrados de Água Doce","11/2019","Vulnerável","","D2","Adebrotus lugoi é endêmica do Brasil, com poucos registros no estado do Espírito Santo e outro em Pernambuco. A espécie é rara, com apenas cinco indivíduos conhecidos, a despeito de inúmeras tentativas de coleta de material. Embora tenha sido registrada numa unidade de conservação, a nascente daquele rio está fora da unidade e, portanto, sujeita a degradação ambiental, principalmente por atividades agropecuárias. Os locais de ocorrência nos rios São Mateus - ES e Amarají - PE também encontram-se degradados por atividades urbanas e agropecuárias, respectivamente. Há três localizações, considerando o despejo de efluentes nos recursos hídricos como principal ameaça. Portanto A. lugoi foi categorizada como Vulnerável (VU) pelo critério D2.","Sim","Sim","Espírito Santo, Pernambuco","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Doce
Sub-bacia Litoral AL PE PB","REBIO de Sooretama","","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
9 - Poluição
9.1 - Doméstica e urbana - escoamento de água
9.1.1 - Esgoto
9 - Poluição
9.3 - Agropecuária e florestal
9.3.3 - Herbicidas e pesticidas","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla inconspicua","","Aegla inconspicua","Bond-Buckup & Buckup, 1994","Egla","Invertebrados de Água Doce","10/2019","Vulnerável","","B1ab(iii)","Aegla inconspicua é uma espécie endêmica do Brasil, distribuída no nordeste do estado do Rio Grande do Sul, nas Bacias dos Rios Sinos e Caí. A extensão de ocorrência (EOO) foi calculada em 12.623 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. A região de ocorrência da espécie é impactada por intensa atividade agropecuária e urbanização, que resultam em perda da qualidade do habitat e fragmentação da população. Por essas razões, A. inconspicua foi categorizada como Vulnerável (VU), pelo critério B1ab(iii).","Sim","Sim","Rio Grande do Sul","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba","","ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida","","Plano de Ação Nacional (PAN), Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aeria","Aeria olena","Aeria olena tiuma","Aeria olena tiuma","Freitas & Rosa, 2021","Borboleta","Invertebrados Terrestres","09/2024","Vulnerável","","B1ab(iii)","Aeria olena tiuma é endêmica do Brasil, onde ocorre na Mata Atlântica da região nordeste a norte do rio São Francisco, restrita a poucas áreas de floresta bem preservada nos estados da Paraíba, Pernambuco e Alagoas. Sua Extensão de Ocorrência (EOO) foi calculada em 16.493 km², numa região que encontra-se profundamente alterada pelas atividades agropecuárias e expansão urbana, que causam, sobretudo, desconexão do habitat e severa fragmentação populacional. As atividades agropecuárias também estão relacionadas ao intenso uso de agrotóxicos e fogo, que também promovem declínio continuado do habitat. Por essas razões, Aeria olena tiuma foi categorizada como Vulnerável (VU), pelo critério B1ab(iii).","Sim","Não","Alagoas, Paraíba, Pernambuco","|Nordeste|","Caatinga, Mata Atlântica","Sub-bacia Litoral AL PE PB
Sub-bacia Litoral CE PB","REBIO de Pedra Talhada","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios
9 - Poluição
9.3 - Agropecuária e florestal
9.3.3 - Herbicidas e pesticidas","","","","","0 , 1000",""
"Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Albinapis","Albinapis gracilis","","","Urban & Graf, 2000","Abelha","Invertebrados Terrestres","07/2021","Vulnerável","","B1ab(iii)","Albinapis gracilis é endêmica do Brasil, sendo registrada apenas no Rio Grande do Sul, em ambientes com características muito peculiares que incluem campos e áreas rochosas. Sua extensão de ocorrência (EOO) é estimada em menos de 20.000km², considerando que a distribuição da espécie pode ser um pouco mais ampla que a atualmente conhecida. A região de ocorrência da espécie encontra-se sob forte pressão agropecuária e de mineração e, assim, boa parte da sua extensão original já foi substituída por áreas de monocultura ou pastagem. Essas atividades, além de promoverem a redução e fragmentação do habitat, também causam declínio continuado do habitat remanescente. Considerando a baixa capacidade de dispersão da espécie e alta taxa de transformação da paisagem, infere-se que a fragmentação do habitat reflete-se em severa fragmentação da sua população. Por essas razões, Albinapis gracilis foi categorizada como Vulnerável (VU), pelo critério B1ab(iii).","Sim","Não","Rio Grande do Sul","|Sul|","Pampa","Sub-bacia Guaíba
Sub-bacia Ibicuí","APA Ibirapuitã","","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
3 - Produção energética e mineração
3.2 - Mineração
3.2.4 - Extração de minérios - garimpo
8 - Espécies invasoras
problemáticas e doenças
8.1 - Espécies exóticas
8.1.2 - Espécie não conhecida
8.1.2.1 - Competidores","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação de Insetos Polinizadores","","",""
"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Alectrurus","Alectrurus tricolor","","Alectrurus tricolor","(Vieillot, 1816)","galito","Aves","10/2018","Vulnerável","","C2a(i)","Alectrurus tricolor distribui-se na Bolívia, Paraguai e Brasil, ocorrendo em campos naturais pouco alterados ou inalterados do Cerrado. Atualmente, a população brasileira está quase restrita a unidades de conservação. A população é inferida em menos de 10.000 indivíduos maduros, com três subpopulações representativas localizadas nos Parques Nacionais das Emas, da Serra da Canastra e da Chapada dos Veadeiros, entretanto não existe nenhuma unidade de conservação que ofereça proteção a uma das populações mais relevantes, que habita a região de Uberaba/MG. As subpopulações são inferidas em menos de 1.000 indivíduos maduros. A espécie está ameaçada pela perda de habitat devido à supressão dos campos naturais em função da expansão das atividades agrosilvopastoris e invasões de espécies exóticas (Pinus e gramíneas), havendo declínio populacional continuado. Por essas razões, A. tricolor foi categorizada Vulnerável (VU), pelo critério C2a(i).","Não","Sim","Distrito Federal, Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, Rio Grande do Sul, São Paulo, Tocantins","|Centro-Oeste|Norte|Sudeste|Sul|","Cerrado, Mata Atlântica, Pantanal","Sub-bacia Grande
Sub-bacia Paraíba do Sul
Sub-bacia Paranaíba
Sub-bacia Paranapanema
Sub-bacia Paraná RH1
Sub-bacia São Francisco Alto
Sub-bacia São Francisco Médio
Sub-bacia Tietê
Sub-bacia Tocantins Alto","APA Bacia do Rio Descoberto, APA Ilhas e Várzeas do Rio Paraná, APA Planalto Central, FLONA de Brasília, FLONA de Ipanema , PARNA da Chapada dos Veadeiros, PARNA das Emas, PARNA da Serra da Canastra, PARNA de Brasília, PARNA de Ilha Grande","APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí, APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO, ESTAÇÃO ECOLÓGICA DE ÁGUAS EMENDADAS, ESTAÇÃO ECOLÓGICA DE ITIRAPINA, ESTAçãO ECOLóGICA DE SANTA BáRBARA, ESTAÇÃO ECOLÓGICA DO JARDIM BOTÂNICO","RPPN Cachoeira do Cerradão, RPPN Chakra Grisu, RPPN Fazenda América, RPPN Fazenda Campo Alegre, RPPN Fazenda Mata Funda, RPPN Fazenda São Miguel, RPPN Fazendinha, RPPN Nave da Esperança","Desconhecido","Declinando","1 - Desenvolvimento residencial e comercial
1.3 - Áreas de turismo e recreação
2 - Agropecuária e Aquacultura
2.2 - Silvicultura
2.2.3 - Plantações em escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios
9 - Poluição
9.3 - Agropecuária e florestal
9.3.3 - Herbicidas e pesticidas","","Criação de áreas protegidas, Expansão de áreas protegidas, Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação das Aves Ameaçadas do Bioma Amazônia, Plano de Ação Nacional para a Conservação das Aves do Cerrado e Pantanal, Plano de Ação Nacional para a Conservação das Aves do Cerrado e Pantanal - 2º ciclo, Plano de Ação Nacional para a Conservação das Aves dos Campos Sulinos - 2º ciclo, Plano de Ação Nacional para a Conservação dos Passeriformes Ameaçados dos Campos Sulinos e Espinilho","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Alexandresaurus","Alexandresaurus camacan","","Alexandresaurus camacan","Rodrigues, Pellegrino, Dixo, Verdade, Pavan, Argôlo & Sites Jr, 2007","Calanguinho-do-Alexandre","Répteis","04/2021","Vulnerável","","B1ab(iii)","Alexandresaurus camacan é endêmica do Brasil, com ocorrência na região da Mata Atlântica do estado da Bahia. Sua extensão de ocorrência foi calculada em 19.175 km&sup2;. A espécie é encontrada em florestas em bom estado de conservação ou cabrucas com serapilheira úmida. Os ambientes em que a espécie pode ser encontrada encontram-se em manchas dispersas em meio a florestas secundárias, degradadas e áreas convertidas em plantações ou pastagens. Essas atividades também provocam declínio contínuo da qualidade do habitat. Considerando a especificidade de habitat e a baixa capacidade de dispersão da espécie, sua população encontra-se severamente fragmentada. Portanto, Alexandresaurus camacan foi avaliada como Vulnerável (VU) pelo critério B1ab(iii).","Sim","Não","Bahia","|Nordeste|","Mata Atlântica","Sub-bacia Itapecuru-Paraguaçu","REBIO de Una","ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA","RPN Salto Apepique, RPPN Fazenda Panema, RPPN Reserva Natural da Serra do Teimoso","","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
5 - Uso de recursos biológicos
5.3 - Extração florestal
5.3.3 - Efeitos indiretos - subsistência/pequena escala","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo","","",""
